title,wikidata_id,tmdb_id,box_office_mojo_id,metacritic_id,letterboxd_id
Thunderbolts*,Q112322474,986056,tt20969586,movie/thunderbolts,thunderbolts
Friendship,Q127821688,1239655,tt30505698,movie/friendship,friendship-2024
Final Destination Bloodlines,Q118212751,574475,tt9619824,movie/final-destination-bloodlines,final-destination-bloodlines
Lilo & Stitch,Q59395971,552524,tt11655566,movie/lilo-stitch-2025,lilo-stitch-2025
Mission: Impossible - The Final Reckoning,Q61876374,575265,tt9603208,movie/mission-impossible-the-final-reckoning,mission-impossible-the-final-reckoning
Bring Her Back,Q127602379,1151031,tt32246771,movie/bring-her-back,bring-her-back
Karate Kid: Legends,Q124246470,1011477,tt1674782,movie/karate-kid-legends,karate-kid
The Phoenician Scheme,Q124758337,1137350,tt30840798,movie/the-phoenician-scheme,the-phoenician-scheme
Ballerina,Q84713105,541671,tt7181546,movie/ballerina,ballerina-2025
The Life of Chuck,Q123169098,842924,tt12908150,movie/the-life-of-chuck,the-life-of-chuck
How to Train Your Dragon,Q118904382,1087192,tt26743210,movie/how-to-train-your-dragon-2025,how-to-train-your-dragon-2025
Materialists,Q125726790,1136867,tt30253473,movie/materialists,materialists
28 Years Later: The Bone Temple,Q129423731,1272837,tt32141377,movie/28-years-later-the-bone-temple,28-years-later-the-bone-temple
Elio,Q113879962,1022787,tt4900148,movie/elio,elio
F1,Q114246242,911430,tt16311594,movie/f1-the-movie,f1
M3GAN 2.0,Q116258185,1071585,tt26342662,movie/m3gan-20,m3gan-20
Jurassic World Rebirth,Q124380480,1234821,tt31036941,movie/jurassic-world-rebirth,jurassic-world-rebirth
Superman,Q116547790,1061474,tt5950044,movie/superman-2025,superman-2025
Eddington,Q121433282,648878,tt31176520,movie/eddington,eddington
Smurfs,Q124125148,936108,tt18069420,movie/smurfs,smurfs
I Know What You Did Last Summer,Q130368011,1083433,tt4045450,movie/i-know-what-you-did-last-summer-2025,i-know-what-you-did-last-summer-2025
The Fantastic 4: First Steps,Q105105219,617126,tt10676052,movie/the-fantastic-four-first-steps,the-fantastic-four-first-steps
The Bad Guys 2,Q125363929,1175942,tt30017619,movie/the-bad-guys-2,the-bad-guys-2
The Naked Gun,Q125908027,1035259,tt3402138,movie/the-naked-gun,the-naked-gun
Together,Q131870558,1242011,tt31184028,movie/together-2025,together-2025
Freakier Friday,Q126897811,1125257,tt31956415,movie/freakier-friday,freaky-friday-2
Weapons,Q126487478,1078605,tt26581740,movie/weapons,weapons-2025
Nobody 2,Q126682448,1007734,tt28996126,movie/nobody-2,nobody-2
Honey Don't!,Q124352605,1149504,tt30645201,movie/honey-dont,honey-dont
Caught Stealing,Q130248726,1245993,tt1493274,movie/caught-stealing,caught-stealing
The Roses,Q126810973,1267905,tt31973693,movie/the-roses,the-roses-1
